id,review,label
Li-Yan_Yuan,paper25,Li-Yan Yuan
Ming-Chien_Shan,paper26,Ming-Chien Shan
Mimi_Kao,paper26,Mimi Kao
Arun_N._Swami,paper27,Arun N. Swami
Daniel_F._Lieuwen,paper27,Daniel F. Lieuwen
Herman_Lam,paper27,Herman Lam
Rafael_Alonso,paper28,Rafael Alonso
Eric_N._Hanson,paper28,Eric N. Hanson
Mimi_Kao,paper28,Mimi Kao
Rodney_P._Zimmerman,paper29,Rodney P. Zimmerman
Asit_Dan,paper30,Asit Dan
H._V._Jagadish,paper30,H. V. Jagadish
Bharathi_Subramanian,paper30,Bharathi Subramanian
Christine_Parent,paper31,Christine Parent
Lijuan_Li,paper31,Lijuan Li
Erol_Gelenbe,paper32,Erol Gelenbe
Rafael_Alonso,paper33,Rafael Alonso
Arun_N._Swami,paper34,Arun N. Swami
Eric_N._Hanson,paper35,Eric N. Hanson
Kelly_W._Cartron,paper36,Kelly W. Cartron
Eric_N._Hanson,paper37,Eric N. Hanson
Danilo_Montesi,paper37,Danilo Montesi
Silvana_Castano,paper37,Silvana Castano
Silvana_Castano,paper38,Silvana Castano
Rafael_Alonso,paper39,Rafael Alonso
Lijuan_Li,paper40,Lijuan Li
Rafael_Alonso,paper40,Rafael Alonso
Douglas_W._Cornell,paper41,Douglas W. Cornell
Paula_Furtado,paper41,Paula Furtado
Maurizio_Lenzerini,paper42,Maurizio Lenzerini
Kwang-I_Yu,paper43,Kwang-I Yu
Christine_Parent,paper43,Christine Parent
Masao_Sakauchi,paper43,Masao Sakauchi
Douglas_W._Cornell,paper44,Douglas W. Cornell
A._Moon,paper44,A. Moon
Antoni_Wolski,paper44,Antoni Wolski
Li-Yan_Yuan,paper45,Li-Yan Yuan
Erol_Gelenbe,paper46,Erol Gelenbe
Mimi_Kao,paper46,Mimi Kao
Rafael_Alonso,paper47,Rafael Alonso
Kelly_W._Cartron,paper48,Kelly W. Cartron
Yang-Chang_Hong,paper48,Yang-Chang Hong
David_Farmer,paper49,David Farmer
Algirdas_Avizienis,paper49,Algirdas Avizienis
Doron_Rotem,paper50,Doron Rotem
Doron_Rotem,paper50,Doron Rotem
Douglas_W._Cornell,paper51,Douglas W. Cornell
Lijuan_Li,paper52,Lijuan Li
Arun_N._Swami,paper52,Arun N. Swami
Lijuan_Li,paper53,Lijuan Li
Rafael_Alonso,paper54,Rafael Alonso
Mimi_Kao,paper55,Mimi Kao
Douglas_W._Cornell,paper55,Douglas W. Cornell
Erol_Gelenbe,paper55,Erol Gelenbe
H._V._Jagadish,paper56,H. V. Jagadish
Stanley_B._Zdonik,paper56,Stanley B. Zdonik
Christine_Parent,paper56,Christine Parent
Li-Yan_Yuan,paper57,Li-Yan Yuan
Jack_Milton,paper57,Jack Milton
Jeffrey_Scott_Vitter,paper58,Jeffrey Scott Vitter
Li-Yan_Yuan,paper58,Li-Yan Yuan
A._Moon,paper59,A. Moon
Daniel_Barbará,paper59,Daniel Barbará
Lijuan_Li,paper60,Lijuan Li
George_P._Copeland,paper61,George P. Copeland
Li-Yan_Yuan,paper62,Li-Yan Yuan
Asit_Dan,paper62,Asit Dan
A._Moon,paper63,A. Moon
Stanley_B._Zdonik,paper64,Stanley B. Zdonik
Ming-Chien_Shan,paper64,Ming-Chien Shan
Douglas_W._Cornell,paper65,Douglas W. Cornell
Michael_Stonebraker,paper65,Michael Stonebraker
Antoni_Wolski,paper66,Antoni Wolski
Rafael_Alonso,paper67,Rafael Alonso
Rodney_P._Zimmerman,paper67,Rodney P. Zimmerman
A._Moon,paper67,A. Moon
Kelly_W._Cartron,paper68,Kelly W. Cartron
George_P._Copeland,paper69,George P. Copeland
Siu-Lun_Au,paper70,Siu-Lun Au
Kwang-I_Yu,paper70,Kwang-I Yu
Rafael_Alonso,paper71,Rafael Alonso
Lijuan_Li,paper71,Lijuan Li
Lijuan_Li,paper72,Lijuan Li
A._Moon,paper72,A. Moon
Christine_Parent,paper73,Christine Parent
Arun_N._Swami,paper73,Arun N. Swami
Daniel_Barbará,paper74,Daniel Barbará
Algirdas_Avizienis,paper74,Algirdas Avizienis
Jeffrey_Scott_Vitter,paper74,Jeffrey Scott Vitter
Ling_Liu_0001,paper75,Ling Liu 0001
Christian_S._Jensen,paper75,Christian S. Jensen
Jack_Milton,paper76,Jack Milton
Algirdas_Avizienis,paper76,Algirdas Avizienis
Doron_Rotem,paper77,Doron Rotem
Algirdas_Avizienis,paper77,Algirdas Avizienis
Algirdas_Avizienis,paper77,Algirdas Avizienis
Stanley_B._Zdonik,paper78,Stanley B. Zdonik
Stanley_B._Zdonik,paper79,Stanley B. Zdonik
H._V._Jagadish,paper80,H. V. Jagadish
Algirdas_Avizienis,paper80,Algirdas Avizienis
Daniel_F._Lieuwen,paper80,Daniel F. Lieuwen
